51: --- wins 🔵: 25, wins 🔴: 14, no winner: 12   ---   winrate 🔵: 0,490196, winrate 🔴: 0,274510   ---   clean winrate 🔵: 0,641026, clean winrate 🔴: 0,358974 ### player1bias: 28, 0,717949
52: --- wins 🔴: 14, wins 🔵: 25, no winner: 13   ---   winrate 🔴: 0,269231, winrate 🔵: 0,480769   ---   clean winrate 🔴: 0,358974, clean winrate 🔵: 0,641026 ### player1bias: 28, 0,717949
53: --- wins 🔵: 25, wins 🔴: 14, no winner: 14   ---   winrate 🔵: 0,471698, winrate 🔴: 0,264151   ---   clean winrate 🔵: 0,641026, clean winrate 🔴: 0,358974 ### player1bias: 28, 0,717949
54: --- wins 🔴: 15, wins 🔵: 25, no winner: 14   ---   winrate 🔴: 0,277778, winrate 🔵: 0,462963   ---   clean winrate 🔴: 0,375000, clean winrate 🔵: 0,625000 ### player1bias: 29, 0,725000
55: --- wins 🔵: 26, wins 🔴: 15, no winner: 14   ---   winrate 🔵: 0,472727, winrate 🔴: 0,272727   ---   clean winrate 🔵: 0,634146, clean winrate 🔴: 0,365854 ### player1bias: 30, 0,731707
56: --- wins 🔴: 16, wins 🔵: 26, no winner: 14   ---   winrate 🔴: 0,285714, winrate 🔵: 0,464286   ---   clean winrate 🔴: 0,380952, clean winrate 🔵: 0,619048 ### player1bias: 31, 0,738095
57: --- wins 🔵: 27, wins 🔴: 16, no winner: 14   ---   winrate 🔵: 0,473684, winrate 🔴: 0,280702   ---   clean winrate 🔵: 0,627907, clean winrate 🔴: 0,372093 ### player1bias: 32, 0,744186
58: --- wins 🔴: 16, wins 🔵: 28, no winner: 14   ---   winrate 🔴: 0,275862, winrate 🔵: 0,482759   ---   clean winrate 🔴: 0,363636, clean winrate 🔵: 0,636364 ### player1bias: 32, 0,727273
59: --- wins 🔵: 29, wins 🔴: 16, no winner: 14   ---   winrate 🔵: 0,491525, winrate 🔴: 0,271186   ---   clean winrate 🔵: 0,644444, clean winrate 🔴: 0,355556 ### player1bias: 33, 0,733333
60: --- wins 🔴: 17, wins 🔵: 29, no winner: 14   ---   winrate 🔴: 0,283333, winrate 🔵: 0,483333   ---   clean winrate 🔴: 0,369565, clean winrate 🔵: 0,630435 ### player1bias: 34, 0,739130
61: --- wins 🔵: 30, wins 🔴: 17, no winner: 14   ---   winrate 🔵: 0,491803, winrate 🔴: 0,278689   ---   clean winrate 🔵: 0,638298, clean winrate 🔴: 0,361702 ### player1bias: 35, 0,744681
62: --- wins 🔴: 18, wins 🔵: 30, no winner: 14   ---   winrate 🔴: 0,290323, winrate 🔵: 0,483871   ---   clean winrate 🔴: 0,375000, clean winrate 🔵: 0,625000 ### player1bias: 36, 0,750000
63: --- wins 🔵: 30, wins 🔴: 18, no winner: 15   ---   winrate 🔵: 0,476190, winrate 🔴: 0,285714   ---   clean winrate 🔵: 0,625000, clean winrate 🔴: 0,375000 ### player1bias: 36, 0,750000
64: --- wins 🔴: 18, wins 🔵: 30, no winner: 16   ---   winrate 🔴: 0,281250, winrate 🔵: 0,468750   ---   clean winrate 🔴: 0,375000, clean winrate 🔵: 0,625000 ### player1bias: 36, 0,750000
